product_id,price_amount,currency,price_type,condition,observed_at,marketplace,source_listing_id,url,is_bundle
rtx-3090,780,EUR,asking,used,2026-08-19T08:55:00+00:00,kupujemprodajem,194251380,https://www.kupujemprodajem.com/kompjuteri-desktop/graficke-kartice/rtx-3090-24gb-msi-ventus-fullpack/oglas/194251380,
rtx-3090,800,EUR,asking,used,2026-08-19T08:55:00+00:00,kupujemprodajem,194294192,https://www.kupujemprodajem.com/kompjuteri-desktop/graficke-kartice/evga-rtx-3090-ftw3-ultra-24gb/oglas/194294192,
rtx-3090,750,EUR,asking,used,2026-08-19T08:55:00+00:00,kupujemprodajem,192218883,https://www.kupujemprodajem.com/kompjuteri-desktop/graficke-kartice/gigabyte-rtx-3090-aorus-xtreme-waterforce-24gb/oglas/192218883,
